%TITLE%
 FWD   141014/0000 

   LEVEL       HGHT       TEMP       DWPT       WDIR       WSPD
-------------------------------------------------------------------
%RAW%
  125.00,  15109.36,    -61.10,    -92.10,  -9999.00,  -9999.00
  122.40,  15240.00,    -61.10,    -92.10,    280.00,     41.01
  122.00,  15260.08,    -61.10,    -92.10,  -9999.00,  -9999.00
  116.43,  15545.00,    -63.59,    -93.88,    250.00,     41.01
  107.00,  16060.59,    -68.10,    -97.10,    240.00,     50.99
  105.35,  16154.00,    -68.10,    -97.10,    240.00,     50.99
  105.00,  16173.79,    -68.10,    -97.10,  -9999.00,  -9999.00
  102.00,  16349.22,    -64.50,    -94.50,  -9999.00,  -9999.00
  100.00,  16470.00,    -64.90,    -94.90,    280.00,     22.01
   93.60,  16873.05,    -66.90,    -95.90,  -9999.00,  -9999.00
   92.10,  16971.21,    -66.10,    -95.10,  -9999.00,  -9999.00
   87.40,  17288.10,    -68.70,    -97.70,  -9999.00,  -9999.00
   86.16,  17374.00,    -68.83,    -97.74,    240.00,      0.99
   77.83,  17983.00,    -69.78,    -98.01,    270.00,     16.01
   75.20,  18188.81,    -70.10,    -98.10,  -9999.00,  -9999.00
   73.96,  18288.00,    -69.69,    -97.69,    210.00,     17.00
   72.20,  18432.47,    -69.10,    -97.10,  -9999.00,  -9999.00
   71.10,  18525.12,    -66.70,    -95.70,  -9999.00,  -9999.00
   70.31,  18593.00,    -65.98,    -94.98,    230.00,     12.00
   70.00,  18620.00,    -65.70,    -94.70,    230.00,     12.00
   68.10,  18787.58,    -64.50,    -94.50,  -9999.00,  -9999.00
   66.88,  18898.00,    -64.84,    -94.56,    220.00,     20.01
   63.90,  19175.25,    -65.70,    -94.70,  -9999.00,  -9999.00
   63.62,  19202.00,    -65.03,    -94.31,    235.00,     24.01
   62.90,  19271.59,    -63.30,    -93.30,  -9999.00,  -9999.00
   60.00,  19562.63,    -61.70,    -91.70,  -9999.00,  -9999.00
   57.62,  19812.00,    -62.42,    -92.42,    285.00,     15.00
   56.10,  19977.44,    -62.90,    -92.90,  -9999.00,  -9999.00
   53.90,  20224.46,    -61.50,    -92.50,  -9999.00,  -9999.00
   52.21,  20422.00,    -61.42,    -92.42,    245.00,      2.00
   50.00,  20690.00,    -61.30,    -92.30,    175.00,      6.00
   47.50,  21007.98,    -61.50,    -92.50,  -9999.00,  -9999.00
   45.60,  21262.01,    -59.70,    -90.70,  -9999.00,  -9999.00
   45.06,  21336.00,    -59.97,    -90.86,     80.00,      8.00
   41.00,  21922.77,    -62.10,    -92.10,  -9999.00,  -9999.00
   40.85,  21946.00,    -61.84,    -91.96,    130.00,     20.01
   39.70,  22122.90,    -59.90,    -90.90,  -9999.00,  -9999.00
   38.90,  22250.00,    -59.90,    -90.90,    210.00,     10.99
   35.28,  22860.00,    -59.90,    -90.90,    150.00,     12.00
   35.10,  22891.75,    -59.90,    -90.90,  -9999.00,  -9999.00
   32.70,  23336.42,    -57.50,    -89.50,  -9999.00,  -9999.00
   30.00,  23880.00,    -57.90,    -89.90,     25.00,      4.00
   29.07,  24079.00,    -57.99,    -89.77,    350.00,      2.00
   27.69,  24384.00,    -58.12,    -89.57,     25.00,      8.99
   25.90,  24804.67,    -58.30,    -89.30,  -9999.00,  -9999.00
   23.50,  25421.37,    -54.50,    -87.50,  -9999.00,  -9999.00
   21.10,  26112.77,    -53.10,    -86.10,  -9999.00,  -9999.00
   20.00,  26460.00,    -49.90,    -83.90,    240.00,     12.00
   19.30,  26692.64,    -50.50,    -84.50,  -9999.00,  -9999.00
   18.50,  26970.82,    -47.10,    -82.10,  -9999.00,  -9999.00
   17.50,  27338.90,    -46.90,    -81.90,  -9999.00,  -9999.00
   17.25,  27432.00,    -47.39,    -82.17,     20.00,     10.99
   15.30,  28220.13,    -51.50,    -84.50,  -9999.00,  -9999.00
   13.20,  29183.76,    -49.10,    -83.10,  -9999.00,  -9999.00
   12.10,  29759.09,    -45.70,    -80.70,  -9999.00,  -9999.00
   11.40,  30155.56,    -46.30,    -81.30,  -9999.00,  -9999.00
   10.86,  30480.00,    -45.56,    -80.93,    240.00,     10.00
   10.00,  31030.00,    -44.30,    -80.30,    270.00,     18.01
    9.05,  31699.00,    -42.79,    -78.79,    265.00,     15.00
    9.00,  31738.29,    -42.70,    -78.70,  -9999.00,  -9999.00
